#ID       ;SED+ARKO;SED;ARKO;OTHER;CULTURE;CHARACTERS
#00_dynasties.txt;;;;;;
12307     ;        ;;Balawiyún;Balawid;andalusian_arabic;73964|73965|73966
12308     ;        ;;Aslamiyún;Aslamid;bedouin_arabic;73967|73968|200033|200034|200035|200036|200038|200039
12309     ;        ;;Namiriyún;Namirid;andalusian_arabic;73969|73971
12310     ;        ;;Jalidiyún;Jalidid;andalusian_arabic;73972|73974
12311     ;        ;;Ubbaiyún;Ubbaid;andalusian_arabic;73976|73978|73979
9559      ;        ;;Alaholfinger;Alaholfinger;german;167840|167841|167842|167843|167844|167845|167846|167847|167848|167849|167850|167851|167852|167853|167854
9561      ;        ;;Supponidi;Supponidi;italian;167880|167881|167889|167890|167891|167892|167894|167882|167883|167884|167885|167886|167887|167888|167893|167879
9562      ;        ;;di Piacenza;di Piacenza;italian;167912|167913|167914|167915|167916|167917|167918|167919|167920|167921|167922|167923
9560      ;        ;;Belojevic;Belojevic;serbian;146009|146010|167865|167866|167867|167868
9570      ;        ;;Khunzakhal;Khunzakhal;avar;194006|194000|168071|168072|168073|168074|146154|146155|146156|146157|146158|146159|146160|146161|146162|146163|146164|146165|146166|146167|146168|146169|146170|146171|146172|146173
9563      ;        ;;d'Auriate;d'Auriate;italian;167951
9564      ;        ;;di Stazone;di Stazone;italian;167974
9565      ;        ;;di Milano;di Milano;italian;167975
9566      ;        ;;Hucbaldi;Hucbaldi;italian;167978|167979|167976|167980|167981|167982|167983|167984|167985|167986|167987|167988|167989|167990|167991|167992|167993|167994|167995|167996|167997|167998|167999|168000|168001|168007
9567      ;        ;;di Ravenna;di Ravenna;italian;168002|168003
9568      ;        ;;de Vendosme;Bouchardides;frankish;168010|168011|168012|168013|168014|168015|168016
9569      ;        ;;du Maine;Rorgonides;frankish;377|168018|168019|168020|168021|168022|168023|168025|168027|168028|168029|168030|168035|168036|168037|168038|168039|168040|168041|168042|168043|168044|168045|168046|168047|168048|168049|168050|168051|168052|168062|91503|91505|168017
1029136   ;        ;;Slovensky;Slovensky;russian;6829|6831|6832|6833|6835|160055|160056|160057|160058|160062|160091|160092|160093|160094|160095|160096|160097|160098|160109|160110|194131|194132
1029137   ;        ;;Radimich;Radimich;russian;6826|6870|160099|160100|160139|160140|160141|194140|194141
1029138   ;        ;;Seversky;Seversky;russian;6860|159721|160089|160090|160111|160112|160113|194142|194143|194144
1029139   ;        ;;Sarakid;Sarakid;samoyed;159716|160068|160069|160070|194119|194120|194121
1029140   ;        ;;Hasabid;Hasabid;samoyed;159717|160065|160066|160067|194122|194123|194124
1029141   ;        ;;Tatvid;Tatvid;samoyed;20619|160080|160081|160082
1029142   ;        ;;Yurakid;Yurakid;samoyed;20620|160083|160084|160085
1041000   ;        ;;Onggirat;Onggirat;mongol;172004
1041001   ;        ;;Naiman;Naiman;mongol;172006|217213|217214|217215|217216|217217|217246|217247|217259|217260|217261|217263|217264
1041002   ;        ;;Kereyid;Kereyid;mongol;172010
1022179   ;        ;;Apsimaros;Apsimaros;greek;70532|145069
1022180   ;        ;;Artemios;Artemios;greek;70504
1022181   ;        ;;Vardan;Vardan;armenian;145068
1022182   ;        ;;Leon;Leon;greek;70505
1022183   ;        ;;Phokas;Phokas;greek;145072
1022184   ;        ;;Arabissinos;Arabissinos;greek;70510|180646
1022185   ;        ;;Konstantinos;Konstantinos;greek;145073
1022186   ;        ;;Iustinianus;Iustinianus;;70511|168790|168791|168792|70512|70513|70527|70528|70529
1022187   ;        ;;Tarasis;Tarasis;;70515
1022188   ;        ;;Leon;Leon;;70516|70517|70530
1022189   ;        ;;Verinus;Verinus;roman;145226
1022190   ;        ;;Marcianus;Marcianus;roman;70518
1022191   ;        ;;Theodosius;Theodosius;roman;70519|70531|70533|70534|145227
1022192   ;        ;;Constantius;Constantius;roman;145228|145229
1022193   ;        ;;Valentinianus;Valentinianus;roman;145230|145231|145232|145233|145234
1022194   ;        ;;Iovianus;Iovianus;roman;145235
1022195   ;        ;;Constantinus;Constantinus;roman;70520|70521|70522|70523|70524|145236|145237
1022196   ;        ;;Licinianus;Licinianus;roman;145238
1022197   ;        ;;Daia;Daia;roman;145239
1022198   ;        ;;Armentarius;Armentarius;roman;145240
1022199   ;        ;;Diocletianus;Diocletianus;roman;145241
1022200   ;        ;;Carus;Carus;roman;145242|145243|145244
1022201   ;        ;;Dalmatius;Dalmatius;roman;145245
1022202   ;        ;;Tacitus;Tacitus;roman;145246|145247|145248
1022203   ;        ;;Crinitus;Crinitus;roman;145249
1022204   ;        ;;Domitius;Domitius;roman;145250
1022205   ;        ;;Gothicus;Gothicus;;145251|145252|145253
1022206   ;        ;;Valerianus;Valerianus;roman;145254|145255
1022207   ;        ;;Aemilius;Aemilius;roman;145256
1022208   ;        ;;Trebonianus;Trebonianus;roman;145257
1022209   ;        ;;Messius;Messius;roman;145258
1022210   ;        ;;Arabs;Arabs;;70525|70526
1022211   ;        ;;Africanus;Africanus;roman;145259|145260|145261|145262
1022212   ;        ;;Calvinus;Calvinus;roman;145263
1022213   ;        ;;Maximus;Maximus;roman;145264
1022214   ;        ;;Thrax;Thrax;roman;145265
1022215   ;        ;;Severus;Severus;roman;145266
1022216   ;        ;;Antoninus;Antoninus;roman;145267
1022217   ;        ;;Opellius;Opellius;roman;145268
1022218   ;        ;;Severus;Severus;roman;145269|145270|145271
1022219   ;        ;;Didius;Didius;roman;145272
1022220   ;        ;;Helvius;Helvius;roman;145273
1022221   ;        ;;Aurelius;Aurelius;roman;145274|145275
1022222   ;        ;;Verus;Verus;roman;145276
1022223   ;        ;;Pius;Pius;roman;145277
1022224   ;        ;;Hadrianus;Hadrianus;roman;145278
1022225   ;        ;;Traianus;Traianus;roman;145279
1022226   ;        ;;Cocceius;Cocceius;roman;145280
1022227   ;        ;;Flavius;Flavius;roman;145281|145282|145283
1022228   ;        ;;Vitellius;Vitellius;roman;145284
1022229   ;        ;;Salvius;Salvius;roman;145285
1022230   ;        ;;Sulpicius;Sulpicius;roman;145286
1022231   ;        ;;Pompeius;Pompeius;roman;70514
1022232   ;        ;;Claudius;Claudius;roman;145075|145287|145288|145289
1022233   ;        ;;Maximianus;Maximianus;roman;145293|145294
1029143   ;        ;;Tšuudit;Tšuudit;finnish;194128|194129|194130|1000233759|1000233760|1000233761|1000233762|1000233763|1000233764|1000233765|1000233766|1000233767|1000233768|1000233769|1000233770|1000233771|1000233772|1000233773|6828|160133|160131
1029144   ;        ;;Vepsä;Vepsä;finnish;160132|160130|194125|194126|194127|159715
9571      ;        ;;d'Auvergne;d'Auvergne;occitan;127020|127021
9572      ;        ;;de Gavaudan;de Gevaudan;occitan;168149|168150|168151
12312     ;        ;;Qutiyún;Qutid;andalusian_arabic;73980|73981|73982|73983|73984|73986
12313     ;        ;;de Maiorica;de Maiorica;visigothic;73987|73989
12314     ;        ;;de Minorica;de Minorica;visigothic;73990|73992
12315     ;        ;;Galindiyún;Galindid;andalusian_arabic;73775
1042050   ;        ;;Giazihopon;Giazihopon;pecheneg;180242|180243|180244|180245|188820|188821|188822|188823
1042051   ;        ;;Haravoi;Haravoi;pecheneg;180233|180234|180235|180236|180237|188817|188818|188819
1042052   ;        ;;Havuksingila;Havuksingila;pecheneg;180173|180174|180175|180176|180177|180178|188761|194364|188762|188813|188814|188815
1042053   ;        ;;Iavdiertim;Iavdiertim;pecheneg;180256
1042054   ;        ;;Kuertsitsur;Kuertsitsur;pecheneg;180227|180228|188809|188810|188811|188812
1042055   ;        ;;Sirukalpei;Sirukalpei;pecheneg;180238|180239|180240
1042056   ;        ;;Vorotalmat;Vorotalmat;pecheneg;180241
1042057   ;        ;;Vulatsopon;Vulatsopon;pecheneg;180229|180230|180231|180232|188807|188808
1042058   ;        ;;Paguman;Paguman;pecheneg;
1042059   ;        ;;Belermen;Belermen;pecheneg;
1042060   ;        ;;Thonuzoba;Thonuzoba;pecheneg;
9573      ;        ;;Sieghardinger;Sieghardinger;german;168186|168187|168188|168189|168190|168191|168192|168193|168194|168195|168196|168197|168198|168199|168200|168201|168202|168203|168204|168206|168207|168208
9574      ;        ;;de Ponthieu;de Ponthieu;frankish;432|434|435|168170|168171|168172|168173|168174|168175|168176|168177|168178|168179|168180|168181
9575      ;        ;;Banú Salih;Salihid;maghreb_arabic;168282|168253|168254|168255|168256|168257|168258|168259|168260|168261|168262|168263|168264|168265|168266|168267|168268|168269|168270|168271|168272|168273|168274
9576      ;        ;;Barghawata;Barghawata;maghreb_arabic;168275|168276|168277|168278|168279|168280|168281
9577      ;        ;;Umorid;Umorid;avar;168283
9578      ;        ;;Araslanid;Araslanid;avar;168284
9579      ;        ;;Pavalid;Pavalid;avar;168285
9580      ;        ;;Carasova;Carasova;romanian;168286
9581      ;        ;;Alogoboturid;Alogoboturid;bulgarian;168287
9582      ;        ;;Makedonska;Makedonska;bulgarian;168288
9586      ;        ;;Senulatovic;Senulatovic;croatian;168292|168293|168294|168295|168296|168297|168298|168299|168307
9587      ;        ;;von Bregenz;von Bregenz;german;168309
9588      ;        ;;Slavnikovci;Slavnikovci;bohemian;96070|168357|168358|168360|168362|168363|1000228103|1000228104|1000228105|1000228106
9589      ;        ;;af Torgar;af Torgar;norse;168365|168366|168367|168368|168371
9590      ;        ;;Konstantios;Konstantios;greek;168372|168373|168374|168375|168376|168377|168378|168379|168380|168381|168382|168383|168384|168385|168386|168387|168388|168391|168392|168393|168394|168409
9591      ;        ;;Polkarios;Polkarios;greek;168395|168396|168398|168399|168400|168401|168402|168403|168404|168405|168406|168407|168408|168410|168411|168412|168413|168414|6881
9592      ;        ;;Musco;Musco;italian;168436|168437|168438|168439|168440|168441|168442|168443|168444|168445|168446|168447|168448|168449|168450|168451|168452|168453|168454|168455|168456|168457|168458|168459|168460|168461|168462|168463|168464|168465|168466|168467|168468|168469|168470|168471|168472|168473|168474|168475|168476|168477|168478|168497|168498
9593      ;        ;;Urso;Urso;italian;168416|168417|168418|168419|168420|168421|168422|168423|168424|168425|168426|168427|168428|168430|168431|168432|168433|168434|168435
9594      ;        ;;Mauro;Mauro;italian;168479|168480|168481|168482|168483|168484|168485|168486|168487|168489|168490|168491|168492|168493|168494|168495
9602      ;        ;;Isbulid;Isbulid;avar;168576|168577|168578|168579
9603      ;        ;;Slavomirid;Slavomirid;bohemian;168580
9604      ;        ;;Draslavid;Draslavid;bohemian;168581
1042070   ;        ;;Mihran;Mihran;persian;180645|188634|188635|188636
9600      ;        ;;von Walbeck;von Walbeck;german;168542|168543|168544|168545|168547|168548|168550|168551
9601      ;        ;;Geronen;Geronen;german;20264|168560|168561|168562|168563|168564|168565|168566|168568|168569|168570|168571|168572|168573|168574|168575
9605      ;        ;;z Hevelli;z Hevelli;pommeranian;168582
9606      ;        ;;z Wagrow;z Wagrow;pommeranian;168583
9607      ;        ;;z Dalemincow;z Dalemincow;pommeranian;168584|168590|168591
9608      ;        ;;z Wranovi;z Wranovi;pommeranian;168585
9609      ;        ;;z Chyzani;z Chyzani;pommeranian;168587
9610      ;        ;;ze Slowincow;ze Slowincow;pommeranian;168588
9611      ;        ;;z Kaszëbow;z Kaszëbow;pommeranian;168589
9584      ;        ;;Zalanid;Zalanid;bulgarian;168290
1029043   ;        ;;Yüregir;Yüregir;pecheneg;
1029044   ;        ;;Beçenek;Beçenek;pecheneg;
1029045   ;        ;;Bügdüz;Bügdüz;pecheneg;
1029046   ;        ;;Üçok;Üçok;pecheneg;
1029047   ;        ;;Çavuldur;Çavuldur;pecheneg;
1029048   ;        ;;Bayandur;Bayandur;pecheneg;
1029049   ;        ;;Irtim;Irtim;pecheneg;
1029050   ;        ;;Talmat;Talmat;pecheneg;
1029051   ;        ;;Batas;Batas;pecheneg;
1029052   ;        ;;Alayuntlu;Alayuntlu;pecheneg;
1029053   ;        ;;Çepni;Çepni;pecheneg;
1029054   ;        ;;Eymür;Eymür;pecheneg;
1029145   ;        ;;Salgurlu;Salgurlu;pecheneg;
1029146   ;        ;;Kimek;Kimek;cuman;
1029147   ;        ;;Laktan;Laktan;cuman;
1029148   ;        ;;Vokil;Vokil;bolghar;145940|145941|145942|145943
1029149   ;        ;;Ugain;Ugain;bolghar;145951|145952
1029150   ;        ;;Altsikur;Altsikur;bolghar;
1029151   ;        ;;Sabir;Sabir;avar;
1029152   ;        ;;Ezgil;Ezgil;bolghar;6857|160157|160158|160159|160160|160165|160166|160172
1029153   ;        ;;Kashu;Kashu;bolghar;
1029154   ;        ;;Barskhan;Barskhan;bolghar;
1029155   ;        ;;Suvar;Suvar;bolghar;6856|160147|160148|160149|160150|160151|160152|160156
1029156   ;        ;;Barsil;Barsil;bolghar;217340
1029157   ;        ;;Bilar;Bilar;bolghar;160168|160170|160171|160174|188801|188802|188858|188859|188860|188806
1029158   ;        ;;Balanjar;Balanjar;bolghar;217339
1029159   ;        ;;Baskatir;Baskatir;bolghar;6858|160142|160145|160146|160153|160154|160155|160167|160173|188789|188790|194357
1029160   ;        ;;Kabar;Kabar;khazar;
1029161   ;        ;;Khwaliz;Khwaliz;khazar;
1029162   ;        ;;Kozar;Kozar;khazar;
1029163   ;        ;;Baranjar;Baranjar;khazar;
1029164   ;        ;;Akhasir;Akhasir;avar;
1029165   ;        ;;Kazarig;Kazarig;avar;
1029166   ;        ;;Kidar;Kidar;avar;
1042061   ;        ;;Svavarsson;Svavarsson;norse;180257|180258
1029167   ;        ;;Tyvercy;Tyvercy;russian;159718|194136|194137|194138|1000226964|1000226965
1042817   ;        ;;Brycheiniog;Brycheiniog;welsh;131704|159314|159315|159519|159520
1042816   ;        ;;Mac Ruaidrí;Mac Ruaidrí;irish;184111|184112
1042815   ;        ;;Brogyntyn;Brogyntyn;welsh;184091|184092|184095|184096
1042631   ;        ;;Oualata;Oualata;manden;183501
1042632   ;        ;;Bambuk;Bambuk;manden;183502
1042633   ;        ;;Gurma;Gurma;manden;183503
1042634   ;        ;;Djenné;Djenné;manden;183504
1042635   ;        ;;Tadmekka;Tadmekka;manden;183505
1042636   ;        ;;Na'akuelo;Na'akuelo;ethiopian;183506|145970|145971|145972
1042637   ;        ;;Yostos;Yostos;ethiopian;183507
1042638   ;        ;;Merkourios;Merkourios;ethiopian;183508
1042639   ;        ;;Shamumun;Shamumun;ethiopian;183509|145973|145974|145975
1042640   ;        ;;Desta;Desta;ethiopian;183510|145976|145977|145978
1042641   ;        ;;Mac Drostan;Mac Drostan;scottish;183511|183512|183513
1042642   ;        ;;Mac Giric;Mac Giric;scottish;183514|183515|183516|183517
1042643   ;        ;;Mac Malmure;Mac Malmure;scottish;183518|183519|183520
1042644   ;        ;;Mac Morgan;Mac Morgan;scottish;183521|183522|183523|183524
1042645   ;        ;;Mac Crinan;Mac Crinan;scottish;183525|183526|183527
1042646   ;        ;;Mac Comgall;Mac Comgall;scottish;183528|183529|183530
9612      ;        ;;Flatnefr;Flatnefr;norse;168609|168610|168611|168613|168614|168615|168616|1000228049|1000228050
1042610   ;        ;;de la Pole;de la Pole;english;183199|183200|183201|183202|183203|183204|183205|183206|183207
9613      ;        ;;Hjort;Hjort;norse;168648|168649|168650
1042647   ;        ;;de Sully;de Sully;frankish;34462
1042062   ;        ;;Sallariyún;Sallarid;kurdish;180764|180765|180766|180767|1000231414|1000231415|1000231416
1041050   ;        ;;Ben Aharon;Ben Aharon;ashkenazi;
1041051   ;        ;;Ben Ari;Ben Ari;ashkenazi;
1041052   ;        ;;Binyamin;Binyamin;ashkenazi;
1041053   ;        ;;Ben David;Ben David;ashkenazi;
1041054   ;        ;;Ben Jeremias;Ben Jeremias;ashkenazi;
1041055   ;        ;;Ben Leonhard;Ben Leonhard;ashkenazi;
1041056   ;        ;;Ben Michael;Ben Michael;ashkenazi;
1041057   ;        ;;Mose;Mose;ashkenazi;
1041058   ;        ;;Ben Reuben;Ben Reuben;ashkenazi;
1041059   ;        ;;Shaoul;Shaoul;sephardi;
1041060   ;        ;;Ben Sol;Ben Sol;sephardi;
1041061   ;        ;;Ben Shlomo;Ben Shlomo;sephardi;
1041062   ;        ;;Ben Shimon;Ben Shimon;sephardi;
1041063   ;        ;;Ben Yitzhak;Ben Yitzhak;sephardi;
1041064   ;        ;;Ya’akov;Ya’akov;sephardi;
1041065   ;        ;;Ben Yankev;Ben Yankev;sephardi;
1041066   ;        ;;Yeshayahu;Yeshayahu;sephardi;
1041067   ;        ;;Ben Yosef;Ben Yosef;sephardi;
1042063   ;        ;;de Hesdin;de Hesdin;frankish;180781|180782
1042648   ;        ;;Danilovich;Danilovich;russian;125257|125260
1043000   ;        ;;Pala;Pala;bengali;190025|190026|190027|190028|190004|190006|190007|190008|190009|190010|190011|190012|190013|190014|190015|190016|190017|190018|190019|190020|190021|190022|190023|190024|190005
1043001   ;        ;;Lambakanna;Lambakanna;sinhala;175010|189000|189001|189002|189003|189004|189005|189006|189007|189008|189009|189010|189011|189012|189013|189014|189015|189016|189017|189018|189019|189020|189021|189022|189023|189024|189025|189026|189028
1043002   ;        ;;Mlechchha;Mlechchha;assamese;190039|190040|190041|190042|190043|190044|190045|190046|190047|190048|191557|191558|191559|191560
1043003   ;        ;;Rashtrakuta;Rashtrakuta;kannada;175030|74409|74410|74412|74413|74414|74415|74416|74417|74419|74420|74421|74422|74423|74424|74425|74426|74427|74428|74429|74430|74431|74432|74433|74434|74435|74763|74775|74776|74777|74778|191622|191623
1043005   ;        ;;Habbariyún;Habbari;persian;175050
1043006   ;        ;;Shahi;Shahi;turkish;175060|1000231301|1000231302
1043007   ;        ;;Pallava;Pallava;tamil;175070|189071|189072|189073
1043008   ;        ;;Chola;Chola;tamil;189032|175080|189033|189034|189035|189036|189037|189038|189039|189040|189041|189042|189043|189044|189045|189046|189047|74780|189400|189401|189402|189403
1043009   ;        ;;Pandya;Pandya;tamil;175090|189058|189059|189060|189061|189062|189063|189064|189065|189066|189067|189068|189069|189070|189109|189110|189111|189112|189113|189114|189115|189116|189124|189125|189126|189127|189128|189129|189130|189131|189132|189133|189134|189135|189136|189137|189138
1043010   ;        ;;Chera;Chera;tamil;175100|189048|189049|189050|189051|189052|189053|189054|189055|189056|189057|189410|189411|189412
1043011   ;        ;;Samatata;Samatata;bengali;175005
1043012   ;        ;;Badami Chalukya;Badami Chalukya;kannada;74713|74714|74715|74716|74717|74718|74719|74720|74721|191632|191633|191634|191635
1043013   ;        ;;Bhaumakara;Bhaumakara;oriya;175120|189184|189185|189186|189187|191169|191170|191171|191172|191173|191174|191176|191177
1043014   ;        ;;Bana;Bana;oriya;175130|191295|191296|191297
1043015   ;        ;;Maldivia;Maldivia;tamil;175105
1042066   ;        ;;Pratihara;Pratihara;rajput;188000|188001|188002|188003|188004|188005|188006|188007|188008|188009|188010|188011|188012|188013|188014|188015|188016|188146|191605|191607|191608|191609|191610|191611|191612|191613|191615|191616|191617|191620|191621|191624|191625|191626|191627|191628|191629|191630|191631
1042067   ;        ;;Chandela;Chandela;rajput;188025|188026|188027|188028|188029|188031|188033|188035|188036|188037|188038|188039|188040|188041|188043|188045|188046|188048|188050|188052|188054|188056|188058|188060|191431
1042068   ;        ;;Chawda;Chawda;gujurati;188062|188063|188064|188066|188067|188068|188070|188072|188073|188306|188307|188308|188309|188310|188311|188312|188313
1042069   ;        ;;Solanki;Solanki;rajput;188074|188075|188076|188077|188078|188079|188081|188084|188085|188086|188087|188088|188089|188091|188092|188093|188094|188095|188096|188097|188132|191800
12318     ;        ;;Sangama;Sangama;kannada;74400|74401|74402|74403|74404|74405|74407
1029171   ;        ;;Moriya;Moriya;sinhala;217382
1029172   ;        ;;Vijayabahu;Vijayabahu;sinhala;189027|189029|189030|189031|217365|217366|217367|217368|217369|217370|217371|217373|217374|217375|217378
1029173   ;        ;;Kalinga;Kalinga;sinhala;217372
1029174   ;        ;;Siri Sanga Bo;Siri Sanga Bo;sinhala;217386|217387|217388|217389|217392|217393|217394|217395|217396
12319     ;        ;;Kalyani Chalukya;Kalyani Chalukya;kannada;74436|74437|74438|74439|74440|74441|74442|74443|74444|74445|74446|74447|74448|74449|74450|74706|74707|74708|74709|74710|74711|74712|74739
12320     ;        ;;Kalachuri;Kalachuri;kannada;74454|74455|74456|74457|74458|74459|74460|74461|74462|74463|74464|74465|74466|74467
12321     ;        ;;Kolhapur Silahara;Kolhapur Silahara;kannada;74411|74474|74475|74476|74477|74478|74479|74480|74481|74482|74483|74484|74485|74486|74487
12322     ;        ;;Thana Silahara;Thana Silahara;kannada;74492|74493|74494|74495|74496|74497|74498|74499|74500|74501|74502|74503|74504|74505|74506|74507|74508|74509|74510|74511|74512|74513|74514|74515|74516
12323     ;        ;;Silahara;Silahara;kannada;191999|192000|74526|74527|74528|74529|74530|74531|74532|74533|74534|74535
12324     ;        ;;Goa Kadamba;Goa Kadamba;marathi;74538|74539|74540|74541|74542|74543|74544|74545|74546|74547|74548|74549|74550|74551|74552|74553|74554|74594
12325     ;        ;;Hoysala;Hoysala;kannada;74568|74569|74570|74571|74572|74573|74574|74575|74576|74577|74578|74579|74580|74581|74582|74583|74584
1022234   ;        ;;Chrusarkha;Chrusarkha;bedouin_arabic;145596|145597|145598|145599|145600|145601|145602|145603|145604|145605|145606|145607
1022235   ;        ;;Diskarkha;Diskarkha;bedouin_arabic;145608|145609|145610|145611|145612|145613|145614|145615
1022236   ;        ;;Yahballaha;Yahballaha;bedouin_arabic;145616|145617|145618|145965|145966|145967
12326     ;        ;;Wodeyar;Wodeyar;kannada;74595
12327     ;        ;;Alupa;Alupa;kannada;74596|74597|74598|74599|74600|74601|74602|74603|74604|192001|192002|192003|192004|192005|192007|192009
12328     ;        ;;Pandya Alupa;Pandya Alupa;kannada;74605|74606|74607|74608|74609|74610|74611|74612|74613|74615|74616|74617
12329     ;        ;;Chellaketana;Chellaketana;kannada;74737
12330     ;        ;;Hoysala Alupa;Hoysala Alupa;kannada;74618|74619
12331     ;        ;;Seuna Yadava;Seuna Yadava;marathi;74633|74634|74635|74636|74637|74638|74639|74640|74641|74642|74643|74644|74645|74646|74647|74648|74649|74650|74651|74652|74653|74654|74655|74656|74657|74658|74659|74660|74661|74662
1042071   ;        ;;Jewlia;Jewlia;rajput;188099
12332     ;        ;;Talakad Ganga;Talakad Ganga;kannada;74676|74677|74678|74679|74680|74681|74682|74683|74684|74685|74686|74687|74688|74689|74690|74691|74692|74693|74694|74695|74696|74697|74698|74699|74700|74701|74702
1040200   ;        ;;Tomara;Tomara;rajput;170151|170152|170153|170154|170155|170156|170157|170158|170159|170160|170161|170162|170163|170164|170165|170166|170167|170168|170169|170170|170171|170173|170174|170175|170176|170177|170178|170179|170180|170181|170182|170183|170184|170185|170186|170187|170188|170189|170218|170219|170220|170221|170222|170223|170224|170225|170226|170227|170228|170288|170289|170290|170291|170292|170293|170294|170295|170296
1040206   ;        ;;Pathan;Pathan;rajput;170172|170229|170230|170231|170232|170233|170234|170235|170236|170237|170238|170239|170240|170241
1029175   ;        ;;Vengi Chalukya;Vengi Chalukya;telugu;175110|189075|189076|189077|189078|189079|189080|189081|189082|189083|189084|189085|189086|189087|189088|189089|189090|189091|189092|189093|189094|189095|189096|189097|189098|189099|189100|189101|189102|189103|189104|189105|189106|189074|189240|189241|189242|189243
12333     ;        ;;Kamadeva;Kamadeva;marathi;74555|74556|74557|74705
1042072   ;        ;;Vaghela;Vaghela;rajput;188166|188154|188155|188157|188158|188159|188160|188161|188162|188163
12334     ;        ;;Bahmaniyân;Bahmanid;afghan;74723|74724
1022237   ;        ;;Warsangali;Warsangali;somali;145619|145620|145621|145622|145623
1022238   ;        ;;Darod;Darod;somali;145624|145625|145626|145627|145628|145629|145630|145631
1022239   ;        ;;Samaale;Samaale;somali;145632
1022240   ;        ;;Dahnay;Dahnay;ethiopian;145633
1022241   ;        ;;Makhzumi;Makhzumi;bedouin_arabic;145634|145635|145636|145637|145638|145639|145640|145641|145768|145769|145770|145771|145772|145773
1022242   ;        ;;Gideon;Gideon;ethiopian;145642|145643|145644|145645|145646|145647|145648|145649|145650|145651|145652|145653|145654|145655|145656|145657|145658|145659|145660|145661|145662|145663|145664
1022243   ;        ;;Assabi;Assabi;ethiopian;145665
1022244   ;        ;;Afari;Afari;ethiopian;145666|145667|145668|145669|145670|145671|145672|145673|145674|145675|145676
1022245   ;        ;;Hadaatar;Hadaatar;nubian;145767
1022246   ;        ;;Hadendoa;Hadendoa;nubian;145677|145678|145679|145680|145681|145682|145683|145684|145685
1022247   ;        ;;Handiwa;Handiwa;nubian;145686
1022248   ;        ;;Hadendowa;Hadendowa;nubian;145687|145688|145689|145690|145691|145692|145693|145694|145695
1022249   ;        ;;Hidarib;Hidarib;nubian;145696
1022250   ;        ;;Hedareb;Hedareb;nubian;145697|145698|145699|145700|145701|145702|145703|145704|145705
1022251   ;        ;;Atbai;Atbai;nubian;145706
1022252   ;        ;;Amarar;Amarar;nubian;145707|145708|145709|145710|145711|145712|145713|145714|145715
1022253   ;        ;;Bisarin;Bisarin;nubian;145716
1022254   ;        ;;Bisharin;Bisharin;nubian;145717|145718|145719|145720|145721|145722|145723|145724|145725
1022255   ;        ;;Bisariab;Bisariab;nubian;145726
1022256   ;        ;;Bisharyeen;Bisharyeen;nubian;145727|145728|145729|145730|145731|145732|145733|145734|145735
1022257   ;        ;;Tamirat;Tamirat;ethiopian;145736|145737|145738|145739|145740|145741|145742|145743|145744|145745
1022258   ;        ;;Mengesha;Mengesha;ethiopian;145746|145747|145748|145749|145750|145751|145752|145753|145754|145755
1022259   ;        ;;Teka;Teka;ethiopian;145756|145757|145758|145759|145760|145761|145762|145763
1022260   ;        ;;Getachew;Getachew;ethiopian;145774|145775|145776|145777|145778|145779|145780|145781|145782|145783
1022333   ;        ;;Abrone;Abrone;somali;145958
1022334   ;        ;;Dir;Dir;somali;
1022335   ;        ;;Hawiye;Hawiye;somali;
1022336   ;        ;;Isaaq;Isaaq;somali;
1022337   ;        ;;Digil;Digil;somali;
1022338   ;        ;;Mirifle;Mirifle;somali;
1022339   ;        ;;Gadabuursi;Gadabuursi;somali;
1022340   ;        ;;Akishe;Akishe;somali;
1022341   ;        ;;Biyomaal;Biyomaal;somali;
1022342   ;        ;;Surre;Surre;somali;
1022343   ;        ;;Gurgura;Gurgura;somali;
1022344   ;        ;;Issa;Issa;somali;
1022345   ;        ;;Harti;Harti;somali;
1022346   ;        ;;Marehan;Marehan;somali;
1022347   ;        ;;Bartire;Bartire;somali;
1022348   ;        ;;Rahanweyn;Rahanweyn;somali;
1022349   ;        ;;Bigawi;Bigawi;nubian;145959
1022350   ;        ;;Qamhat;Qamhat;nubian;145960
1022351   ;        ;;Amarrar;Amarrar;nubian;145961
1022352   ;        ;;Hadendiwa;Hadendiwa;nubian;145962
1022353   ;        ;;Hadareb;Hadareb;nubian;145963
1022354   ;        ;;Beniamer;Beniamer;nubian;145964
12335     ;        ;;Nolamba;Nolamba;kannada;74726|74727|74728|74729|74730|74731|74732|74733|74734|74735|74738|74740|74741|74742|74743|192016|192017|192018
1029176   ;        ;;Chalukya Chola;Chalukya Chola;tamil;189107|189108|189117|189118|189119|189120|189121|189122|189123
1029177   ;        ;;Cinkaiariyan;Cinkaiariyan;tamil;189139|189140|189141|189142
1029178   ;        ;;Aryacakravarti;Aryacakravarti;tamil;189143|189144|189145|189146
1029179   ;        ;;Kakatiya;Kakatiya;telugu;189223|189224|189225|189226|189227|189228|189229|189230|189231|189232|189233|189234|189235|189236|189237|189238|189239
1029180   ;        ;;Kulasekhara;Kulasekhara;tamil;
1029181   ;        ;;Samoothiri;Samoothiri;tamil;
1029182   ;        ;;Perumadappu;Perumadappu;tamil;217390
1029183   ;        ;;Kadava;Kadava;tamil;189147|189148|189149|189150
1029184   ;        ;;Pattavardhani;Pattavardhani;telugu;
1029185   ;        ;;Katakaraja;Katakaraja;telugu;
