#ID     ;SED     ;VANILLA;CULTURE;CHARACTERS
#00_dynasties.txt;;;;
101820  ;        ;de Bonacolsi;italian;70712|1226770|1226771|1226772|1226773
101822  ;        ;da Cardano;italian;231021
101823  ;        ;da Carrara;italian;412074|412076|412079|463160|70806|70807|70808|70809|70810|70811|70812|70813
101824  ;        ;di Caretto;italian;73708|70939|71072|71073|71074|71075|71076|71077|71078|71080|71081|71082|71083|71084|71085|71086|71087|71088|71089|71090|71091|71094|71095|71107|71110|71112|71113|71115|71116|71118|71120|71121|71122|71123|71124|71125|71126|71127|71129|71130|71131
101825  ;        ;Cavalcabò;italian;
101826  ;        ;della Faggiola;italian;73425|1065333|1065334
101827  ;        ;da Intimiano;italian;
101828  ;        ;Lancia;italian;70989|70990|70991|70992|70993|70994|70995|70996|70997|71000|71001|71002|71003|71007|71008|71009|71010|71012|71013|71014|71015|71016|71018|71019|71020|71021
101829  ;        ;Loredano;italian;
101830  ;        ;di Malaspina;italian;1061630|1061631|1061632|1061633|1061634|1061635|1061636|1061638|1061639|1061640|71456|70668
101831  ;        ;Malipiero;italian;540
101832  ;        ;Maggi;italian;
101833  ;        ;Mocenigo;italian;
101834  ;        ;Pico di Mirandola;italian;70816
101835  ;        ;Polentano;italian;1063079|1063080|1063081|1063082|1063083|1063084|1063085|1063086|1063087|1063088|1063089|1063090|1063091|1063092|1063093|1063094|1063095|1063096|1063097|1063098|1063099|1063108|1063109|1063110|1063111|1063112|1063113
101836  ;        ;da Ponte;italian;
101837  ;        ;da Promontorio;italian;
101838  ;        ;Rainalducci;italian;
101839  ;        ;Razzi;italian;70837
101840  ;        ;della Rocca;italian;1093029|1093030
101841  ;        ;Rossi;italian;73429|1062125|1062126|1062127|1062128|1062129|1062130|1062131|1062132|1062133|1062134|1062135|1062143|1062144|1062145|1062146|1062147|1062148|1062136|1062137|1062138|1062139|1062140|1062141|1062142
101842  ;        ;di San Bonifazio;italian;
101843  ;        ;de Sanseverino;italian;73483|1227450|1227451|1227452|1227453|1227454|1227455|1227456|1227457|1227458|1227459|1227460|1227461|1227462|1227463|1227464|1227465|1227466|1227467|1227468|1227469|1227470|1227471|1227472|1227473|1227474|1227475|1227476|1227477|1227478|1227479|1227480|1227481|1227482|1227483|1227484|1227485|1227486|1227489|1227490|1227491|1227492|1227493|1227494|1227495|1227496|1227497
101844  ;        ;Scoto;italian;
101845  ;        ;Sommariva;italian;
101846  ;        ;Terzi;italian;
101847  ;        ;Tizzone;italian;
101848  ;        ;Torelli;italian;1062185|1062186|1062187|1062188|1062189|1062190|1062191|1065044|1062192|1062193|1062194|1062195
101849  ;        ;della Torre;italian;70752|70753|70754|70755|70756|70757|70758|70759|70760|70761|70762|70763|70764|70765|70766|70767|70768|70838|1064508|1064509|1064510|1064511|1064512|1064513|1064514|1064515|1064516|1091044|1091045
101850  ;        ;di Torres;italian;
101851  ;        ;Traversari;italian;1063415|1063416|1063417|1063418|1063419|1063420|1063421|1063422|1063423|1063424|1063425|1063426|1063427|1063428|1063429|1063430|1063431|1063432|1063433|1063434|1063435|1063436|1063437|1065041|1063438|1063439|1063440|1063441|1063442|1063443|1063444|1063445|1063446|1063447|1063448|1063449|1063450|1063451|1063452|1063453|1063454|1063455|1063456|1063457|1063458|1063459|1063460|1063461|1063462|1063463|1063464|1063465|1063466|1063467|1063468|1063469|1063470|1063471|1063472
101852  ;        ;di Valenti;italian;
101853  ;        ;da Velate;italian;
101854  ;        ;da Verucchio;italian;
101855  ;        ;Vistarini;italian;
101856  ;        ;Zoagli;italian;
101857  ;        ;de Redvers;norman;204650|204657|204658|204660|32507|32508|32509|32511|32512|32513|41265|32503|204655|155242
101858  ;        ;de Meschines;norman;
101859  ;        ;de Breteuil;norman;204585
101860  ;        ;de Waer;norman;
101861  ;        ;de Montoire;frankish;205974|205975|205976|455006|455009|455011|455012|455013|91322|91323
101862  ;        ;Uqaylid;bedouin_arabic;3816|3818|3820|159388|159389|159390|159391|159392|144016|144017|3822|93398|93399|93400|93401
101863  ;        ;Saffarid;bedouin_arabic;
101864  ;        ;Karakhanid;karluk;
101865  ;        ;Gaznin;persian;
101866  ;        ;Khwarezmid;turkish;1229944|1230172|1230173|1230174|1230189|144099|144100|144101|20713|230000|93050|93052|93053|93054|93283
101867  ;        ;Razinid;bedouin_arabic;
101868  ;        ;Rawwadid;kurdish;20722|159148|159149|159150|159151|159152|159153|159154|159155|159156|159158|159159
101869  ;        ;Shaddad;levantine_arabic;
101870  ;        ;Musafir;bedouin_arabic;20716
101871  ;        ;Ka'usiya;persian;
101872  ;        ;Kobulashvili;georgian;
101873  ;        ;Kesranid;persian;228068|144567|144568|144569|144570|144571|144572|144573|144574|20734|232753|146095|146099|146100|146101|146102|146103|146104|146105|146106|146107|146108|146109|146110|146111|146112|146113|146114|146115|146116|146117|146118|146119|146120|146121|146122|146123|146124|146125|146128
101874  ;        ;Svacic;croatian;20381|1229218|1229216|1229217
101875  ;        ;Almohad;maghreb_arabic;224000|224005|155085|155086|155087|155088|32978|32979|32980|32981|32982|32983|32984|32985|32986|32987|32988|32989|32990|32992|1228885
101876  ;        ;Ildeguzid;turkish;1230190|1230228|93296|93297|93298|93299|144051|144052|225015
101877  ;        ;Ghaniya;maghreb_arabic;
101878  ;        ;Fernández de Lima;portuguese;
101879  ;        ;de Cippico;norman;
101880  ;        ;Tvrtkovic;serbian;
101881  ;        ;von Cilli;german;
101882  ;        ;de Clissa;frankish;
101883  ;        ;Kobilic;croatian;
101884  ;        ;Arias;castillan;208530|208531|208532|72368|72850
101885  ;        ;le Blount;norman;41236|41238
101886  ;        ;de Brionne;frankish;41012|41013|41260|41261|41262|41263|41264
101887  ;        ;von Utlede;german;231040
101888  ;        ;von Katzenelnbogen;german;231041|30342|30701|33251|33252|33253|33254|33255|33256|33257|33258|33259|33260|33262|33263|33264
101889  ;        ;von Altena;german;30075
101890  ;        ;Wizlawid;pommeranian;20584|20586|30483|221730|221732|221734|221735|221736|221737|30481|30482|30484|30485|30486|30487|30489|30490|30491|30492|30493|30494|30495|30496|30497|30498|30499|30500|30501|30502|30503|30504|452511|33282|33283|33284|1227012|1227013
101891  ;        ;af Haukadalur;norwegian;144632|144633|144647|202011|202012|20579|1228098|1228135|1228150
101892  ;        ;af Oddi;norwegian;202023|202024|202026|202028|202029|20580|20581
101893  ;        ;Niklotid;german;30553|30554|30470|30555|30557|30559|30560|30562|30563|30564|30565|30566|30567|30568|30569|30570|30571|30572|30575|30576|30577|30578|30579|30580|30581|30582|30583|30584|30585|30586|30587|30588|30589|30590|30591|30592|30596|30598|30599|30600|30601|30602|451980|451981|451983|451984|451985|451986|451987|451990|451991|451992|451993|451994|451995|451997|451998|452000|452001|452002|452006|452007|462822|126000|33293|30550|30551|30552|30556|30558|30561|30574|30593|30594|30595|452003|452004|452005
101894  ;        ;von der Marck;german;
101895  ;        ;von Hessen;german;
101896  ;        ;von Arnsberg;german;462004
101897  ;        ;von Bucheck;german;462005
101898  ;        ;van Diest;german;462006
101899  ;        ;FitzAlan;english;454574|454575|180050|180051|180052|180053|180054|180055|180791|180057|180196|180197|180198|144242|144247|144243|144244|144245|144246|454571|454570
101900  ;        ;de Botreaux;norman;203048|203049
101901  ;        ;Mac Uilleim;scottish;202969|202971|202973|202974|202975|202976
101902  ;        ;von Regenstein;german;462130
101903  ;        ;de Barry;norman;204050|204052|204053|204054|204055
101904  ;        ;Nasrid;andalusian_arabic;487000|487001|73641|73642|73643|73644|73645|73646|73647|73648|73649|73650|73651|73652|73653|73654
101905  ;        ;de Windsor;norman;204058|204059|204060|204056|204051
101906  ;        ;Nakonid;german;30507|30508|30509|30510|30511|30512|8400|8402|8410|8411|101552|161118|161119|161120|161121|1227117
101907  ;        ;z Wagrow;pommeranian;
101908  ;        ;Hlidarendi;norwegian;202018
101909  ;        ;de Mendoza;castillan;71996|71997|71998|72000|72001|72003|72004|71384|72051
101910  ;        ;Martínez de Oviedo;castillan;458006
101911  ;        ;de Peralta;castillan;71193
101912  ;        ;Chupanid;mongol;478001|478002|478003|478004|478005|478031|478033|478034|478035|478036|478037|478041|34430|34431|34432|34433|34434|93194|93195
101913  ;        ;Injuid;mongol;478012|478013|478015|478016|478017
101914  ;        ;Jalayar;maghreb_arabic;478040|34520|34435|93307
101915  ;        ;Muzaffar;andalusian_arabic;478022|478023|478024|93268
101916  ;        ;Toluid;mongol;125521|125522|125523|125524|125525|125527|125528|125529|125530|125531|125532|125533|477515|478000|478006|478007|478008|478010|478030|478032|478042|93308|93309|93310|217268|166928|166929|166932|166933|166936|166937|166941|166958|166959|166960|166979|166980
101917  ;        ;Pérez de Zamora;castillan;
101918  ;        ;van Zutphen;german;30014|30221|30727|41722|41723|161367|1140016
101919  ;        ;Dinefwr;welsh;1228318|204057|214800|214802|214803|214804|214805|214806|214807|214810|332039|40501|81814|81815|81816|81819|81821|81822|81823|138484|138490|138488|138492|138494|138496|138498|138500|159290|159231|159232|159233|159362
101920  ;        ;Aberffraw;welsh;214700|214701|214702|214703|214704|214710|214711|214712|214714|214715|214716|214721|214811|232002|232003|232004|232005|420000|420001|420002|420003|420004|420005|420006|81030|81031|81824|81825|81826|81827|81828|81829|81830|81831|138449|138464|138466|138468|138470|138472|138474|138476|138478|138486|138487|159000|159001|159004|159005|159006|159041|159042|161615|159313|159375|159803|159804|159805|184089|184090
101921  ;        ;Glywysing;welsh;
101922  ;        ;Manaw;welsh;159026|159027|159028
101923  ;        ;Llywelin;welsh;
101924  ;        ;FitzRichard;norman;
101925  ;        ;of Mercia;saxon;
101926  ;        ;Cynllibiwg;welsh;
101927  ;        ;Ganbold;mongol;
101928  ;        ;Bolormaa;mongol;
101929  ;        ;Batbayar;mongol;
101930  ;        ;Bat-Erdene;mongol;
101931  ;        ;Otgonbayar;mongol;
101932  ;        ;Enkhtuyaa;mongol;
101933  ;        ;Gantulga;mongol;
101934  ;        ;Nergüi;mongol;
101935  ;        ;Lkhagvasüren;mongol;
101936  ;        ;Enkhjargal;mongol;
101937  ;        ;Ganzorig;mongol;
101938  ;        ;Narantsetseg;mongol;
101939  ;        ;Pürevsüren;mongol;
101940  ;        ;Ganbaatar;mongol;
101941  ;        ;Mönkhtsetseg;mongol;
101942  ;        ;Mönkhbat;mongol;
101943  ;        ;Mönkh-Erdene;mongol;
101944  ;        ;Jalair;mongol;
101945  ;        ;Sartuul;mongol;
101946  ;        ;Olkhunut;mongol;172003|166896|166897|166899|166957
101947  ;        ;Khatagin;mongol;
101948  ;        ;Iljigin;mongol;
101949  ;        ;Tsookhor;mongol;
102000  ;        ;de Buonalbergo;norman;10003|1227442|1227443|1227444|1227445|1227446|1227447
1029104 ;        ;Muromid;mordvin;159708|160124|160125|160126|194159|194160|194161
1029105 ;        ;Mordvanid;mordvin;159709|160127|160128|160120|194152|194153|194154
1029106 ;        ;Mescheravid;mordvin;159710|160121|160122|160123|194156|194157|194158
1029107 ;        ;Meryavid;mordvin;159711|159713|159714|194150|194151
1029108 ;        ;Cheremisid;mordvin;159712|160114|160115|160116|160117|160118|160119|194147|194148|194149
1029109 ;        ;Chumbulatid;mordvin;
1029110 ;        ;Purginepazid;mordvin;
1029111 ;        ;Varakid;samoyed;
200078  ;        ;Mercadier;frankish;232681
200079  ;        ;Walter;german;
200080  ;        ;de Conversano;frankish;171154|171155|171158|171159|171161|171162|30864|30865|30866|30867|30868|30869|42011|42012
200001  ;        ;Särkilahti;finnish;
200002  ;        ;Tavast;finnish;
200003  ;        ;Karp;finnish;
200004  ;        ;Kangas;finnish;
200005  ;        ;Villnäs;swedish;
200006  ;        ;Kurki;finnish;
200007  ;        ;Lepo;finnish;
200008  ;        ;Fincke;swedish;
200009  ;        ;Dufva;swedish;
2000010 ;        ;Harviala;finnish;
200011  ;        ;Sydänmaa;finnish;
200012  ;        ;Mäkelä;finnish;
200014  ;        ;Jägerhorn af Spurila;swedish;
200015  ;        ;Koskinen;finnish;
200016  ;        ;Gesterby;swedish;
200017  ;        ;Sarvilahti;finnish;
200031  ;        ;Batthyány;hungarian;
200032  ;        ;Csesznegi;hungarian;
200033  ;        ;Esterházy;hungarian;
200036  ;        ;Hajdú;hungarian;
200037  ;        ;Jesenský;hungarian;
200039  ;        ;Lackovic;croatian;
200040  ;        ;Medveczky;hungarian;
200041  ;        ;Rákóczi;hungarian;
200042  ;        ;Wass de Czege;hungarian;
200043  ;        ;Szapolyai;hungarian;
200044  ;        ;Zichy;hungarian;
200045  ;        ;Zrinski;hungarian;
200051  ;        ;Frankopan;croatian;
20085   ;        ;Buchanan;scottish;131006|232598|232599
20086   ;        ;Evans;welsh;
20087   ;        ;Mac Aillein;scottish;
20088   ;        ;Rowe;saxon;
20089   ;        ;Candar;turkish;476350|476351|476352|476353|476354|476355|71853
20090   ;        ;Doranites;turkish;465817|465818|465819
20091   ;        ;Kabasites;turkish;465820|465821
20092   ;        ;Meizomates;turkish;465822|465823
20093   ;        ;Tzanichites;turkish;465824|465825
20094   ;        ;Paleologo;greek;
200052  ;        ;Lortkipanidze;georgian;90151
200053  ;        ;Chqondideli;georgian;90153
200054  ;        ;de Vaqueiras;frankish;232560
200055  ;        ;Machutadze;georgian;232755
200056  ;        ;Gamrekeli;georgian;
200057  ;        ;Mikeladze;georgian;232757
200058  ;        ;Mkhetsidze;georgian;232763
200059  ;        ;Taoeli;georgian;232770
200060  ;        ;St. Genes;frankish;413022
200061  ;        ;Grelle;german;420251
200062  ;        ;von Dolen;german;474100
200063  ;        ;von Liebnitz;german;487010
200064  ;        ;von Virneberg;german;
200065  ;        ;Palavandishvili;georgian;465815
200066  ;        ;Gregoras;greek;465216
200067  ;        ;Maelienydd;welsh;131701|131702|131703|81856|8187|184119|184120|184121|184122|184123|184124|184125|184126|184127|184128|184129
200068  ;        ;Brycheiniog;welsh;159363|159364|159365|159366|159367|159368|159369|159370|159371|159372|159373|159374
200069  ;        ;de la Pole;welsh;420008|420009|420010|454211|183190|183191|183192|183193|183194|183195|183196|183197|183198
200070  ;        ;Llyn;irish;
200071  ;        ;Rhosyr;welsh;
200072  ;        ;Cemais;welsh;
200073  ;        ;Meirionydd;welsh;
200074  ;        ;Ynys Enlli;welsh;
200075  ;        ;Aberdaron;welsh;
200076  ;        ;Penmôn;welsh;
200077  ;        ;Ystrad Clud;welsh;
102001  ;        ;Davidovich;russian;
102004  ;        ;de Sancerre;frankish;
102005  ;        ;Vienne;frankish;204574
102006  ;        ;de Dammartin;frankish;
102007  ;        ;Longespee;norman;
102008  ;        ;de Beauchamp;english;454590|454592|7446|7453|161650|161652|161660|161661|161662|161663|161664
102009  ;        ;de Coligny;frankish;
102010  ;        ;de Lautrec;frankish;
102011  ;        ;d'Amboise;frankish;
102012  ;        ;de Saint-Pol;frankish;
102013  ;        ;Skjöldung;norse;194003|194035|194036|194037|194039
102014  ;        ;Bååt;swedish;
102015  ;        ;Cronstedt;swedish;
102016  ;        ;Saint-Menehould;frankish;
102017  ;        ;Massa;italian;
102019  ;        ;Navigaiozi;italian;
102020  ;        ;Sanudo;greek;31420|31421|31422|31423|31424|31425|31426|31427|31428|31429|31430|31431|31432|1226822|1226823|1226824|1226825
102021  ;        ;Vetrano;italian;
102022  ;        ;della Carceri;italian;
102023  ;        ;de Bruyeres;frankish;
102024  ;        ;de Stromoncourt;frankish;31226|31227|31228|31229|31230
102026  ;        ;de Champlitte;frankish;31333|31334|93829|93830|93831|93832
102027  ;        ;Komytzes;greek;
102028  ;        ;de Tries;frankish;
102029  ;        ;Vrana;serbian;34460
102030  ;        ;de Bethune;frankish;910041|34592|34593|34594|34595|34596|93502|93503|93504|93505|93506|93507|93508|93509|93510|93511|93513|93515|93516|93517|93518|93519|161747|161748|161749|161750|161751|161752|161753|161754|161755|161756|161757|161758|161759|161760|161761
102031  ;        ;Lascaris;greek;
102034  ;        ;Pescatore;italian;
102035  ;        ;Avogadro;italian;
102036  ;        ;de Moncade;italian;
102037  ;        ;Vsevolodich;russian;
1020101 ;        ;de Bellême;norman;
1020102 ;        ;de Montjoie;german;
1020103 ;        ;de Dunstanville;norman;204525|204526|7440|204571
1020104 ;        ;Fitz-Count;norman;
1020105 ;        ;Gaveston;norman;
1020106 ;        ;Darc;;
1020110 ;        ;de Barbosa;portuguese;142023|142007|142008|142011|142019|142020|142035|142151|142419|142420|142421|142422|142423|142424|142425|142426|142427|142016|142433|142436|142799|142801|142802|142804|142805|142806|142807|142808|142810|142812|142813|142815|142816|142818|142819|142820|142821|142822
1020111 ;        ;de Ribadouro;portuguese;142149|142022|142302|142178|142303|142304|142305|142306|142307|142027|142028|142034|142039|142040|142031|142032|142033|142036|142037|142038|142000|142001|142003|142256|142280|142282|142283|142287|142288|142289|142164|142290|142291|142293|142296|142416|142298|142299|142300|142169|142301|142651|142703|142704|142708|142712|142713|142716|142717|142983|142985|142986|142987|142989|142990|142991|142992|142993|142994
1020112 ;        ;de Vasconcelos;portuguese;142133|142134|142138|142139|142136|142137|143089|143091
1020113 ;        ;de Lumiares;portuguese;
1020114 ;        ;de Aboim;portuguese;459531|142152|142154|142123|142217|142219|142220|142221|143071
1020115 ;        ;de Valadares;portuguese;459551|142237|142328|142330|142331|142332|142336|142338|142339|142340|142341|142342|142343|142344|142351|142353|142350|142354|142355|142356|142357|142358|142359|142348
1020116 ;        ;de Riba Vizela;portuguese;72412|73089|142085|142086|142247|142249|142251|142253|142255|142259|142261|142262|142264|142395|142266|142268|142269|142271|142272|142273|142274|142275|142277|142278|142279|142314|142313|142560|142720|142824|142825|142826|142828|142829|142831|142832|142833|142834|142835|142836|142837|142838|142911|142912|142914|142916|142917|142919|142920|142921|142923|142925|142926|142928|142929|142931|142932|142934|142937|142938|142939|142941|142944|142946|142948|142950|142952|142953|142954|142955|142957|142960|142961|142962|142963|142964|142965|142966|142967|142968|142970|142973|142974|142975|142976|142977|142979|142980|142981|142982
1020117 ;        ;de Sousa Chichorro;portuguese;459552|459554|142075|142081|142082|142083|142073|142074
1020118 ;        ;de Sousa Arronches;portuguese;459532|459534|459535|459536|459537|459538|459540|459541|142100|142107|142108|142155|142156|142157|142106
1020119 ;        ;Betótez;castillan;109621|73869|73870|73872|109620|109622|109624|109625|109626|109628|109630|109631|70246|70247|70249
1020120 ;        ;de Soverosa;portuguese;142228|142379|142312|142391|142392|142396|142397|142398|142400|142401|142402|142403|142404|142405|142406|142407|142408|142409|142410|142411|142412|142413|142414|142337|143084
1020121 ;        ;da Maia;portuguese;142418|142224|142276|142460|142462|142463|142465|142466|142467|142470|142471|142473|142472|142475|142476|142477|142478|142479|142480|142481|142482|142483|142484|142485|142486|142487|142488|142489|142490|142491|142492|142493|143069|143070|142494|142496|142495|142498|142499|142500|142502|142503|142504|142505|142507|142508|142509|142512|142513|142515|142516|142517|142519|142521|142523|142525|142526|142527|142528|142529|142530|142532|142533|142535|142536|142537|142539|142540|142541|142542|142544|142545|142995|142997|142998|143008|143002|143001|143003|143004|143005|143006|143009|143010|143011|143012|143013|143014|143015|143016|143019|143021|143023|143024|143025|143026|143027|143028
1020122 ;        ;de Baião;portuguese;142142|142345|142547|142548|142550|142551|142552|142554|142556|142557|142558|142559|142561|142562|142563|142564|142565|142566|142568|142569|142571|142572|142574|142575|142576|142579|142577|142583|142584|142585|142586|143029|143030|143031|143033|143034|143036|143038|143040|143042|143046|143047|143049|143050|143052|143054|143056
1020123 ;        ;de Alvarenga;portuguese;142415|142549|142616|142618|142619|142620|142621|142622|142623|142624|142626|142627|142628|142629|142630|142631|142632|142634|142636|142637|142639|142640|142641|142642|142643|142644
1020124 ;        ;Coelho;portuguese;142581|142646|142648|142650|142652|142653|142654|142656|142657|142658|142659|142660|142661|142663|142664|142665|142666|142667|142669|142671|142672|142673|142675|142676|142677|142678|142679|142680|142682|142684|142687|142688|142689|142690|142691|142692|142693|142695|142696|142697|142702|142699|142700|142701
1020125 ;        ;da Fonseca;portuguese;142710|142718|142721|142723|142724|142725|142727|142728|142729|142731|142732|142733|142734|142736|142738|142739|142741|142743|142744|142745|142746|142747|142748|142749|142750|142752|142754|142755|142756|142758|142759|142760|142761|142763|142765|142766|142768|142770|142772|142773|142775|142777|142782|142783|142784|142785|142786|142787|142788|142790|142792|142794|142795|142796|142797
1020126 ;        ;de Sande;portuguese;142823|142840|142841|142843|142844|142846|142848|142849|142851|142852|142853|142854
1020127 ;        ;de Melo;portuguese;142257|142578|142683|142855|142857|142858|142860|142861|142862|142863|142864|142865|142867|142869|142870|142871|142873|142875|142876|142877|142878|142879|142880|142883|142884|142885|142886|142889|142890|142891|142892|142894|142896|142897|142899|142900|142901|142902|142903|142904|142906|142907|142908|142909
1020128 ;        ;de Azevedo;portuguese;142284|143044|143057|143059|143061|143063|143065|143066|143067|143068|143072|143074|143076
1020129 ;        ;da Nóbrega;portuguese;143096|143094|143092|143098|143100|143102|143104
1020130 ;        ;Velho;portuguese;143106|143108|143110|143112|143114|143116|143118|143120|143122|143123|143124|143125
1022111 ;        ;Kyrdiniatis;greek;70602
1022112 ;        ;Agapetos;greek;145000
1022113 ;        ;Attikos;greek;145003
1022114 ;        ;Anastasiotis;greek;145005
1022115 ;        ;Evergetidiotis;greek;145006
1022116 ;        ;Chliarinos;greek;145007
1022117 ;        ;Chysovergis;greek;145008
1022118 ;        ;Eugeniotis;greek;145010
1022119 ;        ;Vorradiotis;greek;145011
1022120 ;        ;Mountanis;greek;145013
1022121 ;        ;Theotokitis;greek;145014
1022122 ;        ;Viticlenou;greek;145015
1022123 ;        ;Autoreianos;greek;145018|145025
1022124 ;        ;Akoimitos;greek;145020
1022125 ;        ;Charitopoulos;greek;145021
1022126 ;        ;Panemorphiotis;greek;145022
1022127 ;        ;Hyakinthiotis;greek;145023
1022128 ;        ;Galesiotis;greek;145028
1022129 ;        ;Bekkos;greek;145029
1022130 ;        ;Kyprios;greek;145030
1022131 ;        ;Gonitis;greek;145031
1022132 ;        ;Pammakaristiotis;greek;145032
1022133 ;        ;Perivleptiotis;greek;145033
1022134 ;        ;Manganiotis;greek;145035
1022135 ;        ;Kalekas;greek;145037
1022136 ;        ;de Castro Arquato;italian;145066
1023000 ;        ;Tenque;frankish;147000
1023001 ;        ;du Pay de Provence;frankish;147001|93000|93001
1023002 ;        ;de Balben;frankish;147002|147003
1023003 ;        ;de Comps;frankish;147004|147016
1023004 ;        ;d'Aissailly;frankish;
1023005 ;        ;de Murois;frankish;147005
1023006 ;        ;of Syria;frankish;147006
1023007 ;        ;Borrel;frankish;147007
1023008 ;        ;de Aspa;frankish;147008
1023009 ;        ;de Naplouse;frankish;147009
1023010 ;        ;de Donjon;frankish;147010
1023011 ;        ;de Portugal;portuguese;
1023012 ;        ;le Rat;frankish;147012
1023013 ;        ;de Montaigu;frankish;144617|144618|147013
1023014 ;        ;de Thercy;frankish;147014
1023015 ;        ;de Montacute;frankish;147015
1023016 ;        ;de Ville-Bride;frankish;147017
1023017 ;        ;de Chateauneuf;frankish;147018
1023018 ;        ;de Revel;frankish;147019
1023019 ;        ;de Lorgue;frankish;147020
1023020 ;        ;de Villiers;frankish;147021
1023021 ;        ;de Pins;frankish;147022
1023022 ;        ;de Villaret;frankish;147023|147024
1025000 ;        ;Thrugot;danish;101542|101548|34158|34159|34162|151000|151001|151002|101541
1025001 ;        ;Hack;danish;34164
1025002 ;        ;Juul;danish;34166
1025003 ;        ;Ulfeldt;danish;151010|170022|170023|1227879|1227880|1227890|1227891|1227892|1227893|1227894|1227895|1227896|1227897|1227898|1227899|1227881|1227882|1227885|1227886|1227887|1227888|1227889|1227917|1227918|1227919|1227920|1227921|1227922
1025004 ;        ;Bang;danish;151024|151025
1027000 ;        ;Iznaten;maghreb_arabic;155020|155021|155022
1027001 ;        ;Maghrawavid;maghreb_arabic;3856|155008|155009|155010|155011|155012|155013|155014|155015|155016|155117|155118|155119|155120|155121|1236307|1236308|1236309|1236310|1236311|1236312|1236313|1236314|1236315|1236379|1236380|1236381
1027002 ;        ;Ya'lalid;maghreb_arabic;155017|155018|155019|1236382
1027003 ;        ;Miknasid;maghreb_arabic;155000|155001|155002|155003
1027004 ;        ;Snassenid;maghreb_arabic;155007
1027005 ;        ;Zuwawid;maghreb_arabic;155024|155025
1027006 ;        ;Barghawatid;maghreb_arabic;
1027007 ;        ;Massufid;maghreb_arabic;32973|32974|32975|32976|32977|73230|73231|155032|155033|155034|155035|155064|155065|155066|155067|155068|155070|155071|155072|155084
1027008 ;        ;Kutamid;maghreb_arabic;155037|155038|155039|155040|1236402|1236403|1236404
1027009 ;        ;Lemdiyyid;maghreb_arabic;155023
1027010 ;        ;Khurasanid;maghreb_arabic;155047|155048|155049|155050|155051|155052|155053|155054|155055
1027011 ;        ;Riyahdid;bedouin_arabic;155028|155029|155030|155031|155114|155141|155142|155143|155144|155145|155146|155147|155152|155153|155154|155155|155156|155157|155158|155159|155160|155161|155162
1027012 ;        ;Tudjinid;maghreb_arabic;155104|155105|155106|155107|155170|155171
1027013 ;        ;Wardid;bedouin_arabic;155057|155058|155059|155060|155061|155062|155063
1027014 ;        ;Seddoukid;maghreb_arabic;155041|155042|155043|155044|155045|155046
1027015 ;        ;Raghraghwid;maghreb_arabic;155115|155235
1027016 ;        ;Temimid;maghreb_arabic;155135|155136
1027017 ;        ;Zoghbadid;bedouin_arabic;155179|155180|155181|155182|155183|155184|155185|155186|155187|155188
1027018 ;        ;Athbejid;bedouin_arabic;155172|155173|155174|155175|155176|155177|155190|155191|155192|155193
1027019 ;        ;Azfavid;maghreb_arabic;155166|155167|155168|155169
1027020 ;        ;Hamdanid;maghreb_arabic;155165
1027021 ;        ;Thabitid;maghreb_arabic;155236|155237|155238|155239
1027022 ;        ;de la Marck;frankish;
1027023 ;        ;de Thourotte;frankish;33219|161935|161936|161937|161938|161939|161940|138453
1027024 ;        ;de Roussillon;frankish;138439
1027025 ;        ;de Pontigny;frankish;138436
1027026 ;        ;de Beauvoir;frankish;138435
1027027 ;        ;de Winchester;norman;155245
1027028 ;        ;of Ilchester;english;155248
1027029 ;        ;de Luci;norman;155249
1027030 ;        ;de Raleigh;english;155251
1027031 ;        ;de Stratford;english;155259
1027032 ;        ;Uí Ímair;norwegian;
1029000 ;        ;Rheged;welsh;159029|159030|159031|159032|159033|159034|159035|159036|159297|159298|159299|159300|159301|159302|159303|159304|159305|159306|159307|159308|159309|159310|159311|159312|159952|159953|159954|159955|159958|159959|159960
1029001 ;        ;Prydain;welsh;159428|159429|159430|159472
1029002 ;        ;Ebrauc;welsh;1228310|1228311|1228312|159037|159038|159039
1029989 ;        ;de Hiergis;frankish;161927|161929|161930
1029990 ;        ;de Grandson;frankish;161967|161968|161982|161970|161971|161947|161948|161949|161950|161969
1029991 ;        ;de Marcey;frankish;161920
1029992 ;        ;d'Aix;frankish;161944
1029993 ;        ;de Médidan;frankish;161945
1029994 ;        ;de Sarvay;frankish;161946
1029995 ;        ;de Ruvigny;frankish;161951
1029996 ;        ;de Richercourt;frankish;161952
1029997 ;        ;de Blâmont;frankish;161953
1029998 ;        ;de Neuville;frankish;161954
1029999 ;        ;de Traînel;frankish;161984|161985
1029115 ;        ;Volhynsky;russian;
1029116 ;        ;Kryvich;ilmenian;6859|6869|159719|160049|160050|160051|160052|160053|160054|160105|160106|160107|160108|160134|160135|160136|194133
1029117 ;        ;Dregovich;russian;6825|6868|159720|160064|160101|160102|160103|160104|160137|160138|194134|194135
1029118 ;        ;Vyatich;russian;6834|160059|160060|160061|160063|194145|194146
1029119 ;        ;Kaysite;levantine_arabic;159722|1234851|1234852|1234853|1234854|1234855|1234856|1234857
1029120 ;        ;Marwanid;levantine_arabic;159727|159723|159724|159725|159726|1234861
1029121 ;        ;Damyanid;levantine_arabic;159728
1029122 ;        ;Bardunid;levantine_arabic;159729|159730
